,ID,RA,Dec,Ebv,Gal_Long,Gal_Lat,Ecl_Long,Ecl_Lat,Entry
18541,18542,291.62011,6.0,1.0,42.29657,-4.99941,294.42339,27.6248,18541
25143,25144,103.88571,-13.0,1.0,224.993,-4.9935,106.72839,-35.63635,25143
21220,21221,98.27298,-2.0,1.0,212.6225,-4.99319,99.14931,-25.17715,21220
7818,7819,71.23675,38.0,1.0,165.2743,-4.9903,74.75136,15.54977,7818
25316,25317,281.82857,-13.0,1.0,20.86879,-4.98943,281.6941,9.96019,25316
9174,9175,310.4698,34.0,1.0,75.41974,-4.98933,326.48924,49.81445,9174
17630,17631,93.03371,8.0,1.0,201.29649,-4.9876,93.1222,-15.40667,17630
5379,5380,328.5,48.0,1.0,94.92327,-4.9861,357.47225,55.17889,5379
3635,3636,38.4466,55.0,1.0,137.33007,-4.98492,55.48205,37.56985,3635
23015,23016,100.84034,-7.0,1.0,218.26042,-4.97344,102.45088,-29.97209,23015
15712,15713,296.04585,14.0,1.0,51.43957,-4.97265,301.18977,34.66241,15712
3231,3232,27.55102,57.0,1.0,130.90154,-4.95965,49.4727,42.01288,3231
29226,29227,110.42945,-25.0,1.0,238.53823,-4.95928,117.37695,-46.51573,29226
3411,3412,358.16327,57.0,1.0,114.95983,-4.95907,30.26308,50.93718,3411
4499,4500,50.97345,51.0,1.0,145.8795,-4.95092,62.39548,31.23677,4499
14472,14473,87.90698,17.0,1.0,190.96238,-4.94978,87.99151,-6.42479,14472
10707,10708,306.11465,29.0,1.0,69.1699,-4.94896,318.53557,46.54255,10707
5939,5940,62.3622,45.0,1.0,155.59662,-4.94828,69.039,23.55317,5939
19781,19782,96.26741,2.0,1.0,208.13143,-4.94471,96.73074,-21.29324,19781
3431,3432,34.02985,56.0,1.0,134.62684,-4.93696,53.08983,39.50785,3431
30650,30651,272.86624,-29.0,1.0,2.76355,-4.93284,272.51282,-5.5857,30650
24966,24967,282.27273,-12.0,1.0,21.96107,-4.92718,282.2193,10.92001,24966
27899,27900,108.21429,-21.0,1.0,234.03214,-4.92606,113.50909,-42.96367,27899
4453,4454,337.19457,52.0,1.0,101.81407,-4.92442,9.45458,54.88067,4453
28057,28058,277.5,-21.0,1.0,11.82971,-4.92219,276.99892,2.2571,28057
4234,4235,340.0,53.0,1.0,103.80025,-4.91904,12.83391,54.55346,4234
15512,15513,89.74212,14.0,1.0,194.45743,-4.91441,89.75212,-9.43923,15512
19062,19063,95.26462,4.0,1.0,205.88679,-4.90668,95.57284,-19.33777,19062
12116,12117,83.41463,24.0,1.0,182.76699,-4.88733,83.99128,0.69812,12116
14129,14130,87.36842,18.0,1.0,189.83588,-4.88547,87.49174,-5.41644,14129
3844,3845,42.65403,54.0,1.0,139.97725,-4.88023,57.83316,35.72321,3844
27721,27722,277.98817,-20.0,1.0,12.93219,-4.87242,277.50976,3.23113,27721
3033,3034,13.26316,58.0,1.0,123.14662,-4.87107,41.03677,46.86562,3033
4677,4678,334.51327,51.0,1.0,99.86211,-4.87013,6.09611,55.16314,4677
21767,21768,286.79666,-3.0,1.0,32.05139,-4.86967,287.81004,19.40669,21767
24438,24439,103.00283,-11.0,1.0,222.81022,-4.86567,105.41085,-33.74629,24438
3032,3033,11.36842,58.0,1.0,122.139,-4.86256,39.82509,47.43941,3032
6641,6642,320.30418,43.0,1.0,87.28784,-4.86232,344.37906,54.25015,6641
15164,15165,89.2219,15.0,1.0,193.33515,-4.85725,89.24594,-8.43739,15164
21050,21051,287.79944,-1.0,1.0,34.29641,-4.85215,289.13935,21.26436,21050
3034,3035,15.15789,58.0,1.0,124.15404,-4.84993,42.24613,46.30227,3034
6123,6124,323.14961,45.0,1.0,90.15949,-4.84863,349.20913,54.83412,6123
4020,4021,342.93839,54.0,1.0,105.81974,-4.84716,16.23212,54.18448,4020
17472,17473,293.07042,9.0,1.0,45.63211,-4.84708,296.63546,30.33114,17472
10394,10395,306.75241,30.0,1.0,70.31149,-4.82916,319.80435,47.28898,10394
20332,20333,288.80223,1.0,1.0,36.54159,-4.82845,290.5038,23.11087,20332
3031,3032,9.47368,58.0,1.0,121.1321,-4.82441,38.61072,48.02343,3031
8009,8010,314.20495,38.0,1.0,80.44749,-4.82387,333.54074,52.14778,8009
27383,27384,278.47059,-19.0,1.0,14.0335,-4.82183,278.02191,4.20355,27383
3608,3609,351.04478,56.0,1.0,110.89532,-4.81904,24.34553,52.68351,3608
